1,1
1,29
1,3
1,32
1,6
1,12
1,9
1,15
1,28
1,25
1,2
1,31
1,5
1,11
1,14
1,27
1,24
1,30
1,4
1,33
1,10
1,7
2,27
2,7
2,33
2,13
2,1
2,25
3,27
3,1
3,5
3,31
3,4
3,3
3,30
3,29
3,7
3,33
4,9
4,31
4,10
4,5
4,27
4,11
4,33
4,7
4,1
4,29
4,30
4,3
4,4
5,33
5,7
5,1
5,5
5,27
5,31
5,4
5,29
5,30
5,3
6,7
6,33
6,27
6,1
7,5
7,33
7,7
7,4
7,1
7,29
7,3
7,32
7,6
7,31
7,28
7,2
7,27
7,30
9,28
9,2
9,5
9,1
9,30
9,4
9,32
9,3
10,30
10,3
10,29
10,2
10,28
11,30
11,33
11,32
12,28
12,2
12,3
12,1
13,27
13,31
13,30
13,33
13,28
14,29
14,30
15,31
15,28
15,27
15,30
16,32
16,23
16,25
16,28
16,31
17,27
17,33
17,29
17,32
17,28
18,28
18,30
18,1
18,29
19,29
19,2
19,27
20,29
20,30
20,1
20,2
20,33
21,3
21,1
21,30
21,33
21,2
21,28
21,32
21,31
22,2
22,31
22,3
22,29
23,5
23,30
23,3
23,29
23,32
23,31
24,2
24,6
24,29
24,1
24,4
24,33
25,6
25,9
25,5
25,8
25,4
25,30
25,7
25,33
25,1
26,3
26,4
26,9
26,5
27,5
27,27
27,32
27,9
27,31
27,3
27,30
27,7
27,29
27,2
27,33
27,28
28,5
28,27
28,2
28,33
28,10
28,9
29,7
29,2
29,1
29,5
29,11
29,6
29,27
29,9
29,4
29,31
29,13
29,8
29,29
29,30
29,33
30,6
30,25
30,3
30,13
30,10
30,29
30,7
30,4
30,14
30,33
30,11
30,30
30,8
30,27
30,5
30,15
30,12
30,31
30,9
31,33
31,10
31,4
31,22
31,29
31,6
31,18
31,31
31,2
31,27
31,12
31,30
31,14
31,8
32,27
32,25
32,11
32,12
32,15
32,16
32,19
32,6
32,13
32,20
32,33
32,4
32,17
32,24
32,7
32,1
32,5
33,31
33,5
33,8
33,27
33,24
33,30
3304
3333
3320
3316
3329
3332
3312
3309
3328
